stime	etime	text
00:04:12.770	00:04:12.780 align:start position:0%	hon är glad över att ta sitt första steg i
00:04:12.780	00:04:15.710 align:start position:0%	hon är glad över att ta sitt första steg i
00:04:15.710	00:04:15.720 align:start position:0%	öppna vetenskapsmetoder och inser
00:04:15.720	00:04:17.449 align:start position:0%	öppna vetenskapsmetoder och inser
00:04:17.449	00:04:20.569 align:start position:0%	att forskningsplanen hon hittade kallas
00:04:20.569	00:04:20.579 align:start position:0%	 
00:04:20.579	00:04:22.550 align:start position:0%	 
00:04:22.550	00:04:22.560 align:start position:0%	förregistreringar för att vara så transparent som
00:04:22.560	00:04:24.650 align:start position:0%	förregistreringar för att vara så transparent som
00:04:24.650	00:04:24.660 align:start position:0%	möjligt  och för att dokumentera sin idé för
00:04:24.660	00:04:26.990 align:start position:0%	möjligt  och för att dokumentera sin idé för
00:04:26.990	00:04:27.000 align:start position:0%	framtida referens bestämmer sig Sophia för att
00:04:27.000	00:04:29.150 align:start position:0%	framtida referens bestämmer sig Sophia för att
00:04:29.150	00:04:30.409 align:start position:0%	börja sätta ihop en förhandsregistrering i
00:04:30.409	00:04:30.419 align:start position:0%	 
00:04:30.419	00:04:32.810 align:start position:0%	 
00:04:32.810	00:04:34.909 align:start position:0%	OSF i sin förhandsregistrering.
00:04:34.909	00:04:37.550 align:start position:0%	 
00:04:37.550	00:04:39.650 align:start position:0%	 
00:04:39.650	00:04:39.660 align:start position:0%	 
00:04:39.660	00:04:43.730 align:start position:0%	 
00:04:43.730	00:04:43.740 align:start position:0%	 
00:04:43.740	00:04:46.070 align:start position:0%	 
00:04:46.070	00:04:46.080 align:start position:0%	när Sophia slutför sin plan och
00:04:46.080	00:04:48.409 align:start position:0%	när Sophia slutför sin plan och
00:04:48.409	00:04:48.419 align:start position:0%	skapar en förhandsregistrering är det
00:04:48.419	00:04:50.450 align:start position:0%	skapar en förhandsregistrering är det
00:04:50.450	00:04:50.460 align:start position:0%	tidsstämplat med ett permanent digitalt objekt
00:04:50.460	00:04:52.969 align:start position:0%	tidsstämplat med ett permanent digitalt objekt
00:04:52.969	00:04:52.979 align:start position:0%	identifierare eller DOI för framtida referens
00:04:52.979	00:04:55.330 align:start position:0%	identifierare eller DOI för framtida referens
00:04:55.330	00:04:55.340 align:start position:0%	och den är arkiverad för permanent
00:04:55.340	00:04:57.590 align:start position:0%	och den är arkiverad för permanent
00:04:57.590	00:04:57.600 align:start position:0%	lagring registreringen är därför en
00:04:57.600	00:04:59.150 align:start position:0%	lagring registreringen är därför en
00:04:59.150	00:04:59.160 align:start position:0%	centraliserad referenspunkt för
00:04:59.160	00:05:00.830 align:start position:0%	centraliserad referenspunkt för
00:05:00.830	00:05:00.840 align:start position:0%	alla som är intresserade av att ta reda på om
00:05:00.840	00:05:03.050 align:start position:0%	alla som är intresserade av att ta reda på om
00:05:03.050	00:05:03.060 align:start position:0%	Sophias studie och kan till och med länka till
00:05:03.060	00:05:07.310 align:start position:0%	Sophias studie och kan till och med länka till
00:05:07.310	00:05:07.320 align:start position:0%	 
00:05:07.320	00:05:09.290 align:start position:0%	 
00:05:09.290	00:05:09.300 align:start position:0%	skapa en registrering innan hon
00:05:09.300	00:05:11.210 align:start position:0%	skapa en registrering innan hon
00:05:11.210	00:05:11.220 align:start position:0%	påbörjar projektet hjälper  Sophia om hon
00:05:11.220	00:05:12.950 align:start position:0%	påbörjar projektet hjälper  Sophia om hon
00:05:12.950	00:05:12.960 align:start position:0%	bestämmer sig för att söka finansiering från
00:05:12.960	00:05:14.629 align:start position:0%	bestämmer sig för att söka finansiering från
00:05:14.629	00:05:14.639 align:start position:0%	finansiärer som kräver öppen vetenskapspraxis
00:05:14.639	00:05:16.370 align:start position:0%	finansiärer som kräver öppen vetenskapspraxis
00:05:16.370	00:05:16.380 align:start position:0%	 
00:05:16.380	00:05:18.230 align:start position:0%	 
00:05:18.230	00:05:18.240 align:start position:0%	Sophia har hört många historier om
00:05:18.240	00:05:20.450 align:start position:0%	Sophia har hört många historier om
00:05:20.450	00:05:20.460 align:start position:0%	forskningsidéer som stulits eller skaffats
00:05:20.460	00:05:22.790 align:start position:0%	forskningsidéer som stulits eller skaffats
00:05:22.790	00:05:22.800 align:start position:0%	om Sophia är orolig för att dela med sig av sitt
00:05:22.800	00:05:24.770 align:start position:0%	om Sophia är orolig för att dela med sig av sitt
00:05:24.770	00:05:24.780 align:start position:0%	arbete eller registrering medan det fortfarande
00:05:24.780	00:05:27.950 align:start position:0%	arbete eller registrering medan det fortfarande
00:05:27.950	00:05:27.960 align:start position:0%	pågår kan hon också embargo åtkomst eller
00:05:27.960	00:05:29.450 align:start position:0%	pågår kan hon också embargo åtkomst eller
00:05:29.450	00:05:29.460 align:start position:0%	tillfälligt göra  hennes registrering
00:05:29.460	00:05:32.210 align:start position:0%	tillfälligt göra  hennes registrering
00:05:32.210	00:05:32.220 align:start position:0%	privat i upp till fyra år
00:05:32.220	00:05:35.090 align:start position:0%	privat i upp till fyra år
00:05:35.090	00:05:35.100 align:start position:0%	medan Sophia har ett embargo kan skapa en
00:05:35.100	00:05:37.790 align:start position:0%	medan Sophia har ett embargo kan skapa en
00:05:37.790	00:05:37.800 align:start position:0%	anonymiserad vy endast länk för att dela
00:05:37.800	00:05:42.350 align:start position:0%	anonymiserad vy endast länk för att dela
00:05:42.350	00:05:44.450 align:start position:0%	 
00:05:44.450	00:05:47.090 align:start position:0%	 
00:05:47.090	00:05:48.529 align:start position:0%	 
00:05:48.529	00:05:48.539 align:start position:0%	 
00:05:48.539	00:05:50.810 align:start position:0%	 
00:05:50.810	00:05:50.820 align:start position:0%	kan skapa en uppdatering av
00:05:50.820	00:05:53.150 align:start position:0%	kan skapa en uppdatering av
00:05:53.150	00:05:53.160 align:start position:0%	hennes registrering eventuella ändringar
00:05:53.160	00:05:55.070 align:start position:0%	hennes registrering eventuella ändringar
00:05:55.070	00:05:55.080 align:start position:0%	spelas in med en beskrivande sammanfattning av
00:05:55.080	00:05:57.590 align:start position:0%	spelas in med en beskrivande sammanfattning av
00:05:57.590	00:05:57.600 align:start position:0%	var och en, vilket gör det möjligt för Sophia att skapa en
00:05:57.600	00:05:59.510 align:start position:0%	var och en, vilket gör det möjligt för Sophia att skapa en
00:05:59.510	00:05:59.520 align:start position:0%	tydlig berättelse för andra forskare att
00:05:59.520	00:06:01.370 align:start position:0%	tydlig berättelse för andra forskare att
00:06:01.370	00:06:01.380 align:start position:0%	följa hennes registrering från
00:06:01.380	00:06:16.189 align:start position:0%	följa hennes registrering från
00:06:16.189	00:06:16.199 align:start position:0%	 
00:06:16.199	00:06:19.010 align:start position:0%	 
00:06:19.010	00:06:19.020 align:start position:0%	Sophia har utforskat landskapet inom
00:06:19.020	00:06:20.810 align:start position:0%	Sophia har utforskat landskapet inom
00:06:20.810	00:06:20.820 align:start position:0%	sitt område och kommit på en fantastisk
00:06:20.820	00:06:23.510 align:start position:0%	sitt område och kommit på en fantastisk
00:06:23.510	00:06:23.520 align:start position:0%	forskningsidé och registrerat den på
00:06:23.520	00:06:26.029 align:start position:0%	forskningsidé och registrerat den på
00:06:26.029	00:06:26.039 align:start position:0%	operativsystemet  app hon har arbetat med några
00:06:26.039	00:06:27.710 align:start position:0%	operativsystemet  app hon har arbetat med några
00:06:27.710	00:06:27.720 align:start position:0%	av sina kollegor under hela processen
00:06:27.720	00:06:30.170 align:start position:0%	av sina kollegor under hela processen
00:06:30.170	00:06:30.180 align:start position:0%	men tidigare har hon haft problem med
00:06:30.180	00:06:32.529 align:start position:0%	men tidigare har hon haft problem med
00:06:32.529	00:06:32.539 align:start position:0%	samarbeten utanför sin institution,
00:06:32.539	00:06:35.150 align:start position:0%	samarbeten utanför sin institution,
00:06:35.150	00:06:35.160 align:start position:0%	det verkar alltid finnas svårigheter
00:06:35.160	00:06:37.610 align:start position:0%	det verkar alltid finnas svårigheter
00:06:37.610	00:06:37.620 align:start position:0%	förknippade med tillgången till studiens
00:06:37.620	00:06:40.309 align:start position:0%	förknippade med tillgången till studiens
00:06:40.309	00:06:40.319 align:start position:0%	aktuella data och eventuella förändringar av metoder
00:06:40.319	00:06:42.170 align:start position:0%	aktuella data och eventuella förändringar av metoder
00:06:42.170	00:06:42.180 align:start position:0%	eller protokoll som inträffar under  projektets
00:06:42.180	00:06:43.189 align:start position:0%	eller protokoll som inträffar under  projektets
00:06:43.189	00:06:43.199 align:start position:0%	 
00:06:43.199	00:06:45.650 align:start position:0%	 
00:06:45.650	00:06:45.660 align:start position:0%	forskningsinstitutioner erbjuder ofta
00:06:45.660	00:06:47.510 align:start position:0%	forskningsinstitutioner erbjuder ofta
00:06:47.510	00:06:47.520 align:start position:0%	olika lagringsalternativ till sina
00:06:47.520	00:06:49.610 align:start position:0%	olika lagringsalternativ till sina
00:06:49.610	00:06:49.620 align:start position:0%	forskare vilket gör det svårt att
00:06:49.620	00:06:51.590 align:start position:0%	forskare vilket gör det svårt att
00:06:51.590	00:06:51.600 align:start position:0%	samla in all data från
00:06:51.600	00:06:54.469 align:start position:0%	samla in all data från
00:06:54.469	00:06:56.930 align:start position:0%	medarbetare på ett ställe.
00:06:56.930	00:06:58.730 align:start position:0%	 
00:06:58.730	00:07:01.610 align:start position:0%	 
00:07:01.610	00:07:01.620 align:start position:0%	 
00:07:01.620	00:07:03.830 align:start position:0%	 
00:07:03.830	00:07:03.840 align:start position:0%	genererade under
00:07:03.840	00:07:07.070 align:start position:0%	genererade under
00:07:07.070	00:07:07.080 align:start position:0%	studien för att underlätta denna övergång till
00:07:07.080	00:07:10.390 align:start position:0%	studien för att underlätta denna övergång till
00:07:10.390	00:07:10.400 align:start position:0%	en  öppen transparent bas OSF
00:07:10.400	00:07:12.770 align:start position:0%	en  öppen transparent bas OSF
00:07:12.770	00:07:12.780 align:start position:0%	skapade automatiskt ett projektutrymme
00:07:12.780	00:07:14.330 align:start position:0%	skapade automatiskt ett projektutrymme
00:07:14.330	00:07:14.340 align:start position:0%	åt henne när hon skapade sin
00:07:14.340	00:07:15.890 align:start position:0%	åt henne när hon skapade sin
00:07:15.890	00:07:15.900 align:start position:0%	förhandsregistrering.
00:07:15.900	00:07:19.490 align:start position:0%	förhandsregistrering.
00:07:19.490	00:07:19.500 align:start position:0%	Sophia använder sitt OSF-projekt som ett centralt
00:07:19.500	00:07:21.950 align:start position:0%	Sophia använder sitt OSF-projekt som ett centralt
00:07:21.950	00:07:21.960 align:start position:0%	samarbetsutrymme som gör att hennes team
00:07:21.960	00:07:24.830 align:start position:0%	samarbetsutrymme som gör att hennes team
00:07:24.830	00:07:24.840 align:start position:0%	kan lagra och dela material och hantera
00:07:24.840	00:07:26.390 align:start position:0%	kan lagra och dela material och hantera
00:07:26.390	00:07:26.400 align:start position:0%	sina studier under hela
00:07:26.400	00:07:28.089 align:start position:0%	sina studier under hela
00:07:28.089	00:07:28.099 align:start position:0%	forskningslivscykeln
00:07:28.099	00:07:31.010 align:start position:0%	forskningslivscykeln
00:07:31.010	00:07:31.020 align:start position:0%	Sophia märker att  projekt kan göras
00:07:31.020	00:07:34.129 align:start position:0%	Sophia märker att  projekt kan göras
00:07:34.129	00:07:34.139 align:start position:0%	offentliga eller privata när som helst och åtkomst
00:07:34.139	00:07:35.990 align:start position:0%	offentliga eller privata när som helst och åtkomst
00:07:35.990	00:07:36.000 align:start position:0%	till projektet kan ges till hennes
00:07:36.000	00:07:38.629 align:start position:0%	till projektet kan ges till hennes
00:07:38.629	00:07:38.639 align:start position:0%	externa intressenter eller begränsas till
00:07:38.639	00:07:40.010 align:start position:0%	externa intressenter eller begränsas till
00:07:40.010	00:07:40.020 align:start position:0%	enbart hennes team
00:07:40.020	00:07:42.290 align:start position:0%	enbart hennes team
00:07:42.290	00:07:42.300 align:start position:0%	i motsats till förhandsregistreringen som
00:07:42.300	00:07:44.749 align:start position:0%	i motsats till förhandsregistreringen som
00:07:44.749	00:07:44.759 align:start position:0%	Sophia skapade som är mer som en
00:07:44.759	00:07:47.930 align:start position:0%	Sophia skapade som är mer som en
00:07:47.930	00:07:47.940 align:start position:0%	ögonblicksbild av hennes studie Frozen in Time her
00:07:47.940	00:07:50.870 align:start position:0%	ögonblicksbild av hennes studie Frozen in Time her
00:07:50.870	00:07:50.880 align:start position:0%	OSF-projektet är som en sandlåda där
00:07:50.880	00:07:53.689 align:start position:0%	OSF-projektet är som en sandlåda där
00:07:53.689	00:07:53.699 align:start position:0%	arbetet ständigt pågår material som är
00:07:53.699	00:07:56.749 align:start position:0%	arbetet ständigt pågår material som är
00:07:56.749	00:07:56.759 align:start position:0%	lätt att hitta och redigera och den
00:07:56.759	00:07:59.330 align:start position:0%	lätt att hitta och redigera och den
00:07:59.330	00:07:59.340 align:start position:0%	senaste aktiviteten kan spåras av alla
00:07:59.340	00:08:01.010 align:start position:0%	senaste aktiviteten kan spåras av alla
00:08:01.010	00:08:01.020 align:start position:0%	teammedlemmar.
