stime	etime	text
00:01:57.350	00:01:57.360 align:start position:0%	i slutet
00:01:57.360	00:02:00.310 align:start position:0%	i slutet
00:02:00.310	00:02:00.320 align:start position:0%	vill du jämföra medel till exempel
00:02:00.320	00:02:05.190 align:start position:0%	vill du jämföra medel till exempel
00:02:05.190	00:02:05.200 align:start position:0%	 
00:02:05.200	00:02:07.510 align:start position:0%	 
00:02:07.510	00:02:07.520 align:start position:0%	 
00:02:07.520	00:02:09.109 align:start position:0%	 
00:02:09.109	00:02:09.119 align:start position:0%	vi kommer i princip att
00:02:09.119	00:02:11.270 align:start position:0%	vi kommer i princip att
00:02:11.270	00:02:11.280 align:start position:0%	ägna det mesta av denna workshop till  den
00:02:11.280	00:02:16.949 align:start position:0%	ägna det mesta av denna workshop till  den
00:02:16.949	00:02:16.959 align:start position:0%	 
00:02:16.959	00:02:19.910 align:start position:0%	 
00:02:19.910	00:02:19.920 align:start position:0%	och eh att göra ett experiment är mycket
00:02:19.920	00:02:20.949 align:start position:0%	och eh att göra ett experiment är mycket
00:02:20.949	00:02:20.959 align:start position:0%	arbete
00:02:20.959	00:02:25.270 align:start position:0%	arbete
00:02:25.270	00:02:25.280 align:start position:0%	i alla olika stadier och
00:02:25.280	00:02:28.949 align:start position:0%	i alla olika stadier och
00:02:28.949	00:02:28.959 align:start position:0%	det är verkligen viktigt att göra din
00:02:28.959	00:02:32.150 align:start position:0%	det är verkligen viktigt att göra din
00:02:32.150	00:02:32.160 align:start position:0%	litteraturgenomgång för att verkligen undersöka
00:02:32.160	00:02:33.910 align:start position:0%	litteraturgenomgång för att verkligen undersöka
00:02:33.910	00:02:33.920 align:start position:0%	tidigare forskning
00:02:33.920	00:02:36.949 align:start position:0%	tidigare forskning
00:02:36.949	00:02:36.959 align:start position:0%	som är kopplad till
00:02:36.959	00:02:38.710 align:start position:0%	som är kopplad till
00:02:38.710	00:02:38.720 align:start position:0%	den typ av experiment som du vill
00:02:38.720	00:02:39.750 align:start position:0%	den typ av experiment som du vill
00:02:39.750	00:02:39.760 align:start position:0%	köra
00:02:39.760	00:02:41.430 align:start position:0%	köra
00:02:41.430	00:02:41.440 align:start position:0%	eftersom  detta hjälper dig att
00:02:41.440	00:02:44.470 align:start position:0%	eftersom  detta hjälper dig att
00:02:44.470	00:02:44.480 align:start position:0%	ta reda på vad som har gjorts tidigare
00:02:44.480	00:02:46.070 align:start position:0%	ta reda på vad som har gjorts tidigare
00:02:46.070	00:02:46.080 align:start position:0%	och hur du kan
00:02:46.080	00:02:48.150 align:start position:0%	och hur du kan
00:02:48.150	00:02:48.160 align:start position:0%	bidra med något nytt och du kan
00:02:48.160	00:02:50.550 align:start position:0%	bidra med något nytt och du kan
00:02:50.550	00:02:50.560 align:start position:0%	också formulera hypoteser
00:02:50.560	00:02:51.910 align:start position:0%	också formulera hypoteser
00:02:51.910	00:02:51.920 align:start position:0%	om
00:02:51.920	00:02:55.509 align:start position:0%	om
00:02:55.509	00:02:55.519 align:start position:0%	 
00:02:55.519	00:02:58.550 align:start position:0%	 
00:02:58.550	00:02:58.560 align:start position:0%	och detta är första steget och när du
00:02:58.560	00:03:00.390 align:start position:0%	och detta är första steget och när du
00:03:00.390	00:03:00.400 align:start position:0%	har gjort det första steget
00:03:00.400	00:03:02.949 align:start position:0%	har gjort det första steget
00:03:02.949	00:03:02.959 align:start position:0%	kan du gå vidare till att faktiskt designa
00:03:02.959	00:03:06.149 align:start position:0%	kan du gå vidare till att faktiskt designa
00:03:06.149	00:03:06.159 align:start position:0%	experimentera och bestäm vad som ska vara dina
00:03:06.159	00:03:07.910 align:start position:0%	experimentera och bestäm vad som ska vara dina
00:03:07.910	00:03:07.920 align:start position:0%	mått vad ska du
00:03:07.920	00:03:10.550 align:start position:0%	mått vad ska du
00:03:10.550	00:03:10.560 align:start position:0%	mäta i ditt experiment
00:03:10.560	00:03:13.030 align:start position:0%	mäta i ditt experiment
00:03:13.030	00:03:13.040 align:start position:0%	och du kan också bestämma skillnaden  nt
00:03:13.040	00:03:15.270 align:start position:0%	och du kan också bestämma skillnaden  nt
00:03:15.270	00:03:15.280 align:start position:0%	tillstånd där du kommer att
00:03:15.280	00:03:17.509 align:start position:0%	tillstånd där du kommer att
00:03:17.509	00:03:17.519 align:start position:0%	göra dina mesh-mätningar,
00:03:17.519	00:03:20.149 align:start position:0%	göra dina mesh-mätningar,
00:03:20.149	00:03:20.159 align:start position:0%	till exempel ett kontrolltillstånd och ett
00:03:20.159	00:03:22.390 align:start position:0%	till exempel ett kontrolltillstånd och ett
00:03:22.390	00:03:22.400 align:start position:0%	behandlingstillstånd
00:03:22.400	00:03:25.750 align:start position:0%	behandlingstillstånd
00:03:25.750	00:03:25.760 align:start position:0%	och detta kallas ofta ett ab-test,
00:03:25.760	00:03:26.550 align:start position:0%	och detta kallas ofta ett ab-test,
00:03:26.550	00:03:26.560 align:start position:0%	så
00:03:26.560	00:03:29.430 align:start position:0%	så
00:03:29.430	00:03:29.440 align:start position:0%	ett typiskt exempel är i reklam du
00:03:29.440	00:03:31.670 align:start position:0%	ett typiskt exempel är i reklam du
00:03:31.670	00:03:31.680 align:start position:0%	ville testa
00:03:31.680	00:03:35.030 align:start position:0%	ville testa
00:03:35.030	00:03:35.040 align:start position:0%	med vilken version av två onlineannonser
00:03:35.040	00:03:41.190 align:start position:0%	med vilken version av två onlineannonser
00:03:41.190	00:03:41.200 align:start position:0%	 
00:03:41.200	00:03:44.470 align:start position:0%	 
00:03:44.470	00:03:44.480 align:start position:0%	så det finns en hel del saker
00:03:44.480	00:03:46.630 align:start position:0%	så det finns en hel del saker
00:03:46.630	00:03:46.640 align:start position:0%	att täcka när du gör ett experiment och
00:03:46.640	00:03:49.190 align:start position:0%	att täcka när du gör ett experiment och
00:03:49.190	00:03:49.200 align:start position:0%	vi kommer bara att gå in på det
00:03:49.200	00:03:52.470 align:start position:0%	vi kommer bara att gå in på det
00:03:52.470	00:03:52.480 align:start position:0%	 
00:03:52.480	00:03:55.670 align:start position:0%	 
00:03:55.670	00:03:55.680 align:start position:0%	så för att ge lite sammanhang för denna
00:03:55.680	00:03:58.630 align:start position:0%	så för att ge lite sammanhang för denna
00:03:58.630	00:03:58.640 align:start position:0%	experimentverkstad behöver vi någon form av
00:03:58.640	00:04:01.030 align:start position:0%	experimentverkstad behöver vi någon form av
00:04:01.030	00:04:01.040 align:start position:0%	forskningsfråga
00:04:01.040	00:04:03.270 align:start position:0%	forskningsfråga
00:04:03.270	00:04:03.280 align:start position:0%	och forskningsfrågan i det här fallet
00:04:03.280	00:04:05.750 align:start position:0%	och forskningsfrågan i det här fallet
00:04:05.750	00:04:05.760 align:start position:0%	är hur kan vi  förbättra
00:04:05.760	00:04:07.270 align:start position:0%	är hur kan vi  förbättra
00:04:07.270	00:04:07.280 align:start position:0%	 
00:04:07.280	00:04:09.589 align:start position:0%	 
00:04:09.589	00:04:09.599 align:start position:0%	bannerannonsering online eller displayannonsering
00:04:09.599	00:04:11.589 align:start position:0%	bannerannonsering online eller displayannonsering
00:04:11.589	00:04:11.599 align:start position:0%	 
00:04:11.599	00:04:15.030 align:start position:0%	 
00:04:15.030	00:04:15.040 align:start position:0%	Jag tror att ni alla har sett dessa
00:04:15.040	00:04:17.110 align:start position:0%	Jag tror att ni alla har sett dessa
00:04:17.110	00:04:17.120 align:start position:0%	bannerannonser
00:04:17.120	00:04:19.749 align:start position:0%	bannerannonser
00:04:19.749	00:04:19.759 align:start position:0%	på olika plattformar online,
00:04:19.759	00:04:21.590 align:start position:0%	på olika plattformar online,
00:04:21.590	00:04:21.600 align:start position:0%	till exempel om du går till en onlinetidning
00:04:21.600	00:04:22.870 align:start position:0%	till exempel om du går till en onlinetidning
00:04:22.870	00:04:22.880 align:start position:0%	 
00:04:22.880	00:04:25.110 align:start position:0%	 
00:04:25.110	00:04:25.120 align:start position:0%	kommer du ofta att se
00:04:25.120	00:04:26.710 align:start position:0%	kommer du ofta att se
00:04:26.710	00:04:26.720 align:start position:0%	banner adwords
00:04:26.720	00:04:28.950 align:start position:0%	banner adwords
00:04:28.950	00:04:28.960 align:start position:0%	i den högra kolumnen längst till höger
00:04:28.960	00:04:30.629 align:start position:0%	i den högra kolumnen längst till höger
00:04:30.629	00:04:30.639 align:start position:0%	på skärmen
00:04:30.639	00:04:33.430 align:start position:0%	på skärmen
00:04:33.430	00:04:33.440 align:start position:0%	eller om du  gå till youtube kommer du att se
00:04:33.440	00:04:37.110 align:start position:0%	eller om du  gå till youtube kommer du att se
00:04:37.110	00:04:37.120 align:start position:0%	eh bannerannonser eller visa adwords
00:04:37.120	00:04:40.710 align:start position:0%	eh bannerannonser eller visa adwords
00:04:40.710	00:04:40.720 align:start position:0%	och även om du eh
00:04:40.720	00:04:43.030 align:start position:0%	och även om du eh
00:04:43.030	00:04:43.040 align:start position:0%	scrollar på dina sociala medier
00:04:43.040	00:04:45.990 align:start position:0%	scrollar på dina sociala medier
00:04:45.990	00:04:46.000 align:start position:0%	in på instagram eller på facebook
00:04:46.000	00:04:47.909 align:start position:0%	in på instagram eller på facebook
00:04:47.909	00:04:47.919 align:start position:0%	du kommer också se dessa
00:04:47.919	00:04:49.990 align:start position:0%	du kommer också se dessa
00:04:49.990	00:04:50.000 align:start position:0%	banner adwords
00:04:50.000	00:04:50.710 align:start position:0%	banner adwords
00:04:50.710	00:04:50.720 align:start position:0%	och
00:04:50.720	00:04:53.189 align:start position:0%	och
00:04:53.189	00:04:53.199 align:start position:0%	tidigare forskning har visat att
00:04:53.199	00:04:55.830 align:start position:0%	tidigare forskning har visat att
00:04:55.830	00:04:55.840 align:start position:0%	dessa typer av adwords som du kan se
00:04:55.840	00:04:58.790 align:start position:0%	dessa typer av adwords som du kan se
00:04:58.790	00:04:58.800 align:start position:0%	i bakgrunden här
00:04:58.800	00:05:00.390 align:start position:0%	i bakgrunden här
00:05:00.390	00:05:00.400 align:start position:0%	ett exempel är
00:05:00.400	00:05:02.710 align:start position:0%	ett exempel är
00:05:02.710	00:05:02.720 align:start position:0%	de väldigt bra på att skapa
00:05:02.720	00:05:03.990 align:start position:0%	de väldigt bra på att skapa
00:05:03.990	00:05:04.000 align:start position:0%	medvetenhet
00:05:04.000	00:05:04.790 align:start position:0%	medvetenhet
00:05:04.790	00:05:04.800 align:start position:0%	så
00:05:04.800	00:05:06.790 align:start position:0%	så
00:05:06.790	00:05:06.800 align:start position:0%	om du
00:05:06.800	00:05:09.510 align:start position:0%	om du
00:05:09.510	00:05:09.520 align:start position:0%	gör en marknadsföringskampanj och du visar
00:05:09.520	00:05:11.909 align:start position:0%	gör en marknadsföringskampanj och du visar
00:05:11.909	00:05:11.919 align:start position:0%	många människor dessa banner  annonser du
00:05:11.919	00:05:15.029 align:start position:0%	många människor dessa banner  annonser du
00:05:15.029	00:05:15.039 align:start position:0%	kan öka människors medvetenhet om en
00:05:15.039	00:05:18.390 align:start position:0%	kan öka människors medvetenhet om en
00:05:18.390	00:05:18.400 align:start position:0%	viss produkt till exempel
00:05:18.400	00:05:22.310 align:start position:0%	viss produkt till exempel
00:05:22.310	00:05:22.320 align:start position:0%	 
00:05:22.320	00:05:23.189 align:start position:0%	 
00:05:23.189	00:05:23.199 align:start position:0%	men
00:05:23.199	00:05:26.469 align:start position:0%	men
00:05:26.469	00:05:26.479 align:start position:0%	så vi vet att vi vet detta från
00:05:26.479	00:05:28.469 align:start position:0%	så vi vet att vi vet detta från
00:05:28.469	00:05:28.479 align:start position:0%	tidigare forskning men här är
00:05:28.479	00:05:29.510 align:start position:0%	tidigare forskning men här är
00:05:29.510	00:05:29.520 align:start position:0%	 
00:05:29.520	00:05:32.230 align:start position:0%	 
00:05:32.230	00:05:32.240 align:start position:0%	forskningsfrågan hur kan vi förbättra
00:05:32.240	00:05:35.270 align:start position:0%	forskningsfrågan hur kan vi förbättra
00:05:35.270	00:05:35.280 align:start position:0%	bannerannonsering ytterligare
00:05:35.280	00:05:38.790 align:start position:0%	bannerannonsering ytterligare
00:05:38.790	00:05:38.800 align:start position:0%	så kanske vi kan manipulera befintlig
00:05:38.800	00:05:41.670 align:start position:0%	så kanske vi kan manipulera befintlig
00:05:41.670	00:05:41.680 align:start position:0%	banner  reklam för att prestera ännu
00:05:41.680	00:05:43.830 align:start position:0%	banner  reklam för att prestera ännu
00:05:43.830	00:05:43.840 align:start position:0%	bättre när det gäller att
00:05:43.840	00:05:46.950 align:start position:0%	bättre när det gäller att
00:05:46.950	00:05:46.960 align:start position:0%	inte bara skapa medvetenhet utan också
00:05:46.960	00:05:50.150 align:start position:0%	inte bara skapa medvetenhet utan också
00:05:50.150	00:05:50.160 align:start position:0%	skapa intresse och och skapa
00:05:50.160	00:05:53.670 align:start position:0%	skapa intresse och och skapa
00:05:53.670	00:05:53.680 align:start position:0%	positiva attityder för en produkt
00:05:53.680	00:05:54.790 align:start position:0%	positiva attityder för en produkt
00:05:54.790	00:05:54.800 align:start position:0%	så
00:05:54.800	00:05:56.950 align:start position:0%	så
00:05:56.950	00:05:56.960 align:start position:0%	då pratar vi om
00:05:56.960	00:06:00.950 align:start position:0%	då pratar vi om
00:06:00.950	00:06:00.960 align:start position:0%	hänsyn i marknadsföringstermer
00:06:00.960	00:06:01.670 align:start position:0%	hänsyn i marknadsföringstermer
00:06:01.670	00:06:01.680 align:start position:0%	 
00:06:01.680	00:06:04.629 align:start position:0%	 
00:06:04.629	00:06:04.639 align:start position:0%	så forskningsfrågan är hur kan vi
00:06:04.639	00:06:06.390 align:start position:0%	så forskningsfrågan är hur kan vi
00:06:06.390	00:06:06.400 align:start position:0%	utveckla
00:06:06.400	00:06:09.110 align:start position:0%	utveckla
00:06:09.110	00:06:09.120 align:start position:0%	bannerannonsering displayannonsering för
00:06:09.120	00:06:11.909 align:start position:0%	bannerannonsering displayannonsering för
00:06:11.909	00:06:11.919 align:start position:0%	att inte  bara generera medvetenhet
00:06:11.919	00:06:13.670 align:start position:0%	att inte  bara generera medvetenhet
00:06:13.670	00:06:13.680 align:start position:0%	men också
00:06:13.680	00:06:17.189 align:start position:0%	men också
00:06:17.189	00:06:17.199 align:start position:0%	um generera mer intresse mer positiv
00:06:17.199	00:06:19.990 align:start position:0%	um generera mer intresse mer positiv
00:06:19.990	00:06:20.000 align:start position:0%	attityd
00:06:20.000	00:06:22.550 align:start position:0%	attityd
00:06:22.550	00:06:22.560 align:start position:0%	så vi tar forskningsfrågan
00:06:22.560	00:06:23.110 align:start position:0%	så vi tar forskningsfrågan
00:06:23.110	00:06:23.120 align:start position:0%	och vi
00:06:23.120	00:06:24.230 align:start position:0%	och vi
00:06:24.230	00:06:24.240 align:start position:0%	[Musik]
00:06:24.240	00:06:27.350 align:start position:0%	[Musik]
00:06:27.350	00:06:27.360 align:start position:0%	skapar en hypotes
00:06:27.360	00:06:31.270 align:start position:0%	skapar en hypotes
00:06:31.270	00:06:31.280 align:start position:0%	 
00:06:31.280	00:06:33.830 align:start position:0%	 
00:06:33.830	00:06:33.840 align:start position:0%	och här är det såklart
00:06:33.840	00:06:35.510 align:start position:0%	och här är det såklart
00:06:35.510	00:06:35.520 align:start position:0%	viktigt att gå tillbaka till tidigare
00:06:35.520	00:06:37.430 align:start position:0%	viktigt att gå tillbaka till tidigare
00:06:37.430	00:06:37.440 align:start position:0%	forskning och se vad som har gjorts
00:06:37.440	00:06:38.550 align:start position:0%	forskning och se vad som har gjorts
00:06:38.550	00:06:38.560 align:start position:0%	tidigare
00:06:38.560	00:06:39.670 align:start position:0%	tidigare
00:06:39.670	00:06:39.680 align:start position:0%	men
00:06:39.680	00:06:41.590 align:start position:0%	men
00:06:41.590	00:06:41.600 align:start position:0%	låt oss låtsas att vi har gjort den här
00:06:41.600	00:06:45.350 align:start position:0%	låt oss låtsas att vi har gjort den här
00:06:45.350	00:06:45.360 align:start position:0%	forskningen och  vi har upptäckt att
00:06:45.360	00:06:47.510 align:start position:0%	forskningen och  vi har upptäckt att
00:06:47.510	00:06:47.520 align:start position:0%	det finns en god chans att lägga till
00:06:47.520	00:06:49.990 align:start position:0%	det finns en god chans att lägga till
00:06:49.990	00:06:50.000 align:start position:0%	bilder på personer i bannerannonsen
00:06:50.000	00:06:51.110 align:start position:0%	bilder på personer i bannerannonsen
00:06:51.110	00:06:51.120 align:start position:0%	 
00:06:51.120	00:06:52.710 align:start position:0%	 
00:06:52.710	00:06:52.720 align:start position:0%	kommer att
00:06:52.720	00:06:57.110 align:start position:0%	kommer att
00:06:57.110	00:06:57.120 align:start position:0%	 
00:06:57.120	00:07:01.270 align:start position:0%	 
00:07:01.270	00:07:01.280 align:start position:0%	 
00:07:01.280	00:07:04.150 align:start position:0%	 
00:07:04.150	00:07:04.160 align:start position:0%	en bild av ett ansikte
00:07:04.160	00:07:06.790 align:start position:0%	en bild av ett ansikte
00:07:06.790	00:07:06.800 align:start position:0%	i en bannerannons tror
00:07:06.800	00:07:08.950 align:start position:0%	i en bannerannons tror
00:07:08.950	00:07:08.960 align:start position:0%	vi att vi kan skapa mer positiva
00:07:08.960	00:07:10.469 align:start position:0%	vi att vi kan skapa mer positiva
00:07:10.469	00:07:10.479 align:start position:0%	attityder
00:07:10.479	00:07:11.830 align:start position:0%	attityder
00:07:11.830	00:07:11.840 align:start position:0%	som är på
00:07:11.840	00:07:17.990 align:start position:0%	som är på
00:07:17.990	00:07:18.000 align:start position:0%	 
00:07:18.000	00:07:19.270 align:start position:0%	 
00:07:19.270	00:07:19.280 align:start position:0%	 
00:07:19.280	00:07:22.150 align:start position:0%	 
00:07:22.150	00:07:22.160 align:start position:0%	så nästa steg är att skapa ett undersökningsexperiment
00:07:22.160	00:07:23.270 align:start position:0%	så nästa steg är att skapa ett undersökningsexperiment
00:07:23.270	00:07:23.280 align:start position:0%	 
00:07:23.280	00:07:26.390 align:start position:0%	 
00:07:26.390	00:07:26.400 align:start position:0%	och undersökningsexperiment är
00:07:26.400	00:07:28.950 align:start position:0%	och undersökningsexperiment är
00:07:28.950	00:07:28.960 align:start position:0%	de försöker ha det bästa av två världar i
00:07:28.960	00:07:30.469 align:start position:0%	de försöker ha det bästa av två världar i
00:07:30.469	00:07:30.479 align:start position:0%	princip
00:07:30.479	00:07:31.990 align:start position:0%	princip
00:07:31.990	00:07:32.000 align:start position:0%	så
00:07:32.000	00:07:34.550 align:start position:0%	så
00:07:34.550	00:07:34.560 align:start position:0%	en bra sak med undersökningar är att du
00:07:34.560	00:07:36.710 align:start position:0%	en bra sak med undersökningar är att du
00:07:36.710	00:07:36.720 align:start position:0%	kan göra dessa
00:07:36.720	00:07:40.070 align:start position:0%	kan göra dessa
00:07:40.070	00:07:40.080 align:start position:0%	online, du kan samla in dina data eller dina
00:07:40.080	00:07:43.189 align:start position:0%	online, du kan samla in dina data eller dina
00:07:43.189	00:07:43.199 align:start position:0%	observationer genom att  skicka ut länken
00:07:43.199	00:07:46.710 align:start position:0%	observationer genom att  skicka ut länken
00:07:46.710	00:07:46.720 align:start position:0%	 
00:07:46.720	00:07:49.909 align:start position:0%	 
00:07:49.909	00:07:49.919 align:start position:0%	få dina svar
00:07:49.919	00:07:54.469 align:start position:0%	få dina svar
00:07:54.469	00:07:54.479 align:start position:0%	 
00:07:54.479	00:07:56.869 align:start position:0%	 
00:07:56.869	00:07:56.879 align:start position:0%	och undersökningar är också bra när det kommer
00:07:56.879	00:08:00.469 align:start position:0%	och undersökningar är också bra när det kommer
00:08:00.469	00:08:00.479 align:start position:0%	 
00:08:00.479	00:08:04.150 align:start position:0%	 
00:08:04.150	00:08:04.160 align:start position:0%	det är ganska svårt att
00:08:04.160	00:08:07.189 align:start position:0%	det är ganska svårt att
00:08:07.189	00:08:07.199 align:start position:0%	titta på människors beteende och dra
00:08:07.199	00:08:09.589 align:start position:0%	titta på människors beteende och dra
00:08:09.589	00:08:09.599 align:start position:0%	slutsatser om deras attityder så
00:08:09.599	00:08:11.110 align:start position:0%	slutsatser om deras attityder så
00:08:11.110	00:08:11.120 align:start position:0%	det är i grunden
00:08:11.120	00:08:13.830 align:start position:0%	det är i grunden
00:08:13.830	00:08:13.840 align:start position:0%	ett bättre tillvägagångssätt att be dem betygsätta
00:08:13.840	00:08:17.350 align:start position:0%	ett bättre tillvägagångssätt att be dem betygsätta
00:08:17.350	00:08:17.360 align:start position:0%	sina attityder om något
00:08:17.360	00:08:19.830 align:start position:0%	sina attityder om något
00:08:19.830	00:08:19.840 align:start position:0%	så det är positivt eh
00:08:19.840	00:08:22.230 align:start position:0%	så det är positivt eh
00:08:22.230	00:08:22.240 align:start position:0%	saker med undersökningar men
00:08:22.240	00:08:24.830 align:start position:0%	saker med undersökningar men
00:08:24.830	00:08:24.840 align:start position:0%	på den negativa sidan på
00:08:24.840	00:08:28.390 align:start position:0%	på den negativa sidan på
00:08:28.390	00:08:28.400 align:start position:0%	minussidan måste vi säga att dessa undersökningar
00:08:28.400	00:08:31.909 align:start position:0%	minussidan måste vi säga att dessa undersökningar
00:08:31.909	00:08:31.919 align:start position:0%	data är självrapporterade
00:08:31.919	00:08:32.790 align:start position:0%	data är självrapporterade
00:08:32.790	00:08:32.800 align:start position:0%	så
00:08:32.800	00:08:34.949 align:start position:0%	så
00:08:34.949	00:08:34.959 align:start position:0%	det betyder att
00:08:34.959	00:08:37.750 align:start position:0%	det betyder att
00:08:37.750	00:08:37.760 align:start position:0%	de är subjektiva för
00:08:37.760	00:08:40.149 align:start position:0%	de är subjektiva för
00:08:40.149	00:08:40.159 align:start position:0%	deltagaren
00:08:40.159	00:08:41.829 align:start position:0%	deltagaren
00:08:41.829	00:08:41.839 align:start position:0%	om en
00:08:41.839	00:08:43.909 align:start position:0%	om en
